"title","release_date","rating","director","writer","genres","runtime","original_language","budget","revenue"
"""Mitchell""!","10/09/1975 (US)","32","Andrew V. McLaglen","Ian Kennedy Martin","Suç,Dram,Aksiyon","1h 37m","İngilizce","-","-"
"*Piller Dahil Değildir","18/12/1987 (US)","66","Matthew Robbins","","Aile,Komedi,Fantastik,Bilim-Kurgu","1h 46m","İngilizce","$25,000,000.00","$65,088,797.00"
"...Ve Tanrı Kadını Yarattı","28/11/1956 (FR)","61","Roger Vadim","","Dram,Romantik","1h 32m","Fransızca","$300,000.00","$33,000,000.00"
"100 Kız","01/09/2000 (US)","58","Michael Davis","Michael Davis","Komedi,Dram,Romantik","1h 34m","İngilizce","-","-"
"101 Dalmaçyalı","25/01/1961 (US)","72","Hamilton Luske","","Macera,Animasyon,Komedi,Aile","1h 19m","İngilizce","$3,600,000.00","$303,000,000.00"
"101 Dalmaçyalı 2: Patch'in Londra Macerası","21/01/2003 (US)","60","Jim Kammerud","","Aile,Animasyon,Macera,Komedi","1h 14m","İngilizce","-","-"
"102 Dalmaçyalı","21/11/2000 (US)","55","Kevin Lima","","Aile,Komedi","1h 40m","İngilizce","$85,000,000.00","$183,611,771.00"
"12 Days of Christmas","01/09/2020 (US)","50","Michael Boyle","Michael Boyle","Komedi,Dram,Romantik","1h 26m","İngilizce","$30,000.00","-"
"12 Feet Deep","20/06/2017 (US)","57","Matt Eskandari","Matt Eskandari","Gerilim,Korku","1h 25m","İngilizce","-","$6,158.00"
"12 Yıllık Esaret","24/01/2014 (TR)","79","Steve McQueen","","Dram,Tarih","2h 14m","İngilizce","$20,000,000.00","$187,000,000.00"
"127 Saat","18/02/2011 (TR)","71","Danny Boyle","","Macera,Dram,Gerilim","1h 34m","İngilizce","$18,000,000.00","$35,700,000.00"
"13 Exorcisms","04/11/2022 (ES)","59","Jacobo Martínez","Ramón Campos","Dram,Korku","1h 44m","İspanyolca; Kastilyaca","-","$1,891,519.00"
"13 Hayalet","25/01/2002 (TR)","62","Steve Beck","","Korku,Gerilim","1h 31m","İngilizce","$42,000,000.00","$68,500,000.00"
"13 Minutes","29/10/2021 (US)","59","Lindsay Gossling","","Aksiyon,Dram,Gerilim","1h 48m","İngilizce","-","$67,413.00"
"13 Mucize: Tayland'daki Mağaradan Nasıl Kurtulduk?","05/10/2022 (TH)","64","Pailin Wedel","","Belgesel","1h 42m","Taylandça","-","-"
"13. Cuma","13/02/2009 (US)","58","Marcus Nispel","","Korku","1h 37m","İngilizce","$19,000,000.00","$91,509,154.00"
"13. Cuma","15/06/2021 (TR)","64","Sean S. Cunningham","Victor Miller","Korku","1h 34m","İngilizce","$550,000.00","$59,800,000.00"
"13. Cuma Bölüm 10: Jason","26/04/2002 (US)","48","James Isaac","","Korku,Bilim-Kurgu","1h 31m","İngilizce","$11,000,000.00","$16,951,798.00"
"13. Cuma Bölüm 2","01/09/1982 (TR)","62","Steve Miner","","Korku,Gerilim","1h 26m","İngilizce","$1,250,000.00","$21,700,000.00"
"13. Cuma Bölüm 3","13/08/1982 (US)","59","Steve Miner","","Korku,Gerilim","1h 35m","İngilizce","$4,000,000.00","$36,700,000.00"
"13. Cuma Bölüm 4: Son Bölüm","13/04/1984 (TR)","61","Joseph Zito","","Korku,Gerilim","1h 31m","İngilizce","$2,600,000.00","$33,000,000.00"
"13. Cuma Bölüm 7: Yeni Kan","13/05/1988 (US)","54","John Carl Buechler","","Korku,Gerilim,Bilim-Kurgu","1h 28m","İngilizce","$2,800,000.00","$19,200,000.00"
"13. Cuma Bölüm 8: Jason Manhattan'da","28/07/1989 (US)","49","Rob Hedden","","Korku,Gerilim","1h 40m","İngilizce","$5,000,000.00","$14,000,000.00"
"13. Kat","16/04/1999 (US)","70","Josef Rusnak","","Gerilim,Bilim-Kurgu,Gizem","1h 41m","İngilizce","$16,000,000.00","$18,600,000.00"
"14 and Under","16/08/1973 (DE)","57","Ernst Hofbauer","Ernst Hofbauer","Komedi,Romantik","1h 27m","Almanca","-","-"
"1408","28/09/2007 (TR)","67","Mikael Håfström","","Korku,Gizem","1h 52m","İngilizce","$25,000,000.00","$133,000,000.00"
"1492: Cennetin Keşfi","09/10/1992 (ES)","62","Ridley Scott","","Aksiyon,Macera,Dram,Tarih","2h 34m","İngilizce","$47,000,000.00","$7,191,399.00"
"15 Dakika Savaş","30/01/2019 (FR)","68","Fred Grivois","Fred Grivois","Savaş,Aksiyon,Dram,Tarih","1h 38m","Fransızca","-","-"
"15:17 Paris Treni","09/02/2018 (US)","54","Clint Eastwood","","Dram,Gerilim","1h 34m","İngilizce","$30,000,000.00","$57,076,286.00"
"16 Blok","17/03/2006 (TR)","64","Richard Donner","Richard Wenk","Aksiyon,Macera,Suç,Gerilim","1h 45m","İngilizce","$55,000,000.00","$65,664,721.00"
"16 Dilek","25/06/2010 (US)","63","Peter DeLuise","Annie DeYoung","Fantastik,Dram,Aile","1h 30m","İngilizce","-","-"
"16. Doğum Günüm","04/05/1984 (US)","68","John Hughes","John Hughes","Dram,Romantik,Komedi","1h 33m","İngilizce","$6,500,000.00","$23,686,027.00"
"17 Yeniden","17/04/2009 (US)","63","Burr Steers","Jason Filardi","Komedi,Fantastik,Dram,Romantik","1h 42m","İngilizce","$20,000,000.00","$136,300,000.00"
"172 Days","23/11/2023 (ID)","51","Hadrah Daeng Ratu","Archie Hekagery","Dram,Romantik","1h 43m","Endonezce","-","-"
"18 Year Old Virgin","20/01/2009 (US)","39","Tamara Olson","Naomi L. Selfman","Komedi","1h 26m","İngilizce","-","-"
"18×2 Beyond Youthful Days","14/03/2024 (TW)","83","Michihito Fujii","Michihito Fujii","Romantik","2h 4m","Çince","-","-"
"187","29/07/1997 (US)","66","Kevin Reynolds","","Dram,Gerilim","1h 59m","İngilizce","$20,000,000.00","$5,716,080.00"
"1900","28/08/1976 (IT)","79","Bernardo Bertolucci","Bernardo Bertolucci","Dram,Tarih","5h 17m","İtalyanca","$9,000,000.00","-"
"1922","20/10/2017 (TR)","59","Zak Hilditch","","Korku,Suç,Dram","1h 43m","İngilizce","-","-"
"1984","10/10/1984 (GB)","68","Michael Radford","","Dram,Bilim-Kurgu,Romantik","1h 53m","İngilizce","-","$8,430,492.00"
"1987: When the Day Comes","27/12/2017 (KR)","81","Jang Joon-hwan","Kim Kyung-chan","Dram,Tarih,Gerilim","2h 9m","Korece","$12,308,000.00","$49,380,115.00"
"1990: The Bronx Warriors","22/08/1982 (IT)","50","Enzo G. Castellari","","Aksiyon,Bilim-Kurgu,Gerilim","1h 29m","İtalyanca","-","-"
"1BR","28/09/2019 (US)","60","David Marmor","David Marmor","Gerilim,Dram,Korku","1h 30m","İngilizce","-","-"
"2 Kalp","16/10/2020 (US)","74","Lance Hool","Robin U. Russin","Romantik,Dram","1h 41m","İngilizce","-","-"
"2:22","30/06/2017 (AU)","60","Paul Currie","","Bilim-Kurgu,Gizem,Gerilim,Romantik","1h 39m","İngilizce","-","$3,945,729.00"
"20 Days in Mariupol","14/07/2023 (US)","81","Mstyslav Chernov","","Belgesel,Savaş","1h 34m","İngilizce","-","$21,000.00"
"20. Yüzyılın Kadınları","28/12/2016 (US)","74","Mike Mills","","Dram","1h 59m","İngilizce","$7,000,000.00","$5,664,764.00"
"2001: Uzay Yolu Macerası","19/11/1973 (TR)","81","Stanley Kubrick","","Bilim-Kurgu,Gizem,Macera","2h 29m","İngilizce","$12,000,000.00","$71,923,560.00"
"2010 Karşılaşma Zamanı","06/12/1984 (US)","67","Peter Hyams","","Gerilim,Bilim-Kurgu","1h 56m","İngilizce","$28,000,000.00","$40,400,000.00"
"2012","13/11/2009 (TR)","58","Roland Emmerich","Roland Emmerich","Aksiyon,Macera,Bilim-Kurgu","2h 38m","İngilizce","$200,000,000.00","$791,217,826.00"
"2020 Bit Artık","27/12/2020 (GB)","65","Al Campbell","Mollie Goodfellow","Komedi","1h 11m","İngilizce","-","-"
